index	mean_val	std_val	min_depth	max_depth	iqr	mean_gradient	std_gradient
0	186.89085844196964	1130.3855130494442	0.0	19183.23776223776	0.0	2135.4431976782776	4950.966835136383
1	187.00592410666823	1149.3539708986236	0.0	19471.60372960373	0.0	2155.126144161993	5071.091442405382
2	183.94773315966557	1126.6698767800879	0.0	20018.321678321678	0.0	2119.1373118947745	4963.038040943419
3	202.94841175535834	1247.6822811308832	0.0	20096.34731934732	0.0	2349.973131671626	5507.24152907056
4	174.62894714517896	1030.9598537869158	0.0	19707.306526806526	0.0	1977.2001832449223	4486.096274913498
5	166.82489642867424	983.8734621419572	0.0	18767.986013986014	0.0	1897.8316111010934	4277.234322650527
6	169.18195908796872	998.0263806898317	0.0	18888.030303030304	0.0	1916.5725861560895	4344.480285502334
7	190.6992985747477	1108.4999459678647	0.0	20191.850815850816	0.0	2166.371012486233	4790.777768814139
8	194.80876242919723	1148.9524612025618	0.0	20025.9324009324	0.0	2232.421521025499	5020.088802508096
9	200.94928444859852	1211.314420080201	0.0	19943.35198135198	0.0	2318.47068740195	5328.631016634131
10	159.7244557403591	961.1613169854958	0.0	19804.177156177157	0.0	1809.851814365209	4184.531722768324
11	156.18636933436912	955.4465059510669	0.0	19818.91724941725	0.0	1777.313162159984	4180.292746510469
12	169.33339413708507	1071.846415648407	0.0	20140.05128205128	0.0	1963.1534246822964	4750.119587609016
13	185.44412145986053	1165.9594360364424	0.0	19943.5641025641	0.0	2165.3658027006177	5171.882429082136
14	179.81069210624767	1144.2355793559568	0.0	20015.90675990676	0.0	2088.6556460345237	5083.674688760297
15	161.65763299287943	978.5055839612235	0.0	20018.156177156176	0.0	1829.5328792096018	4261.9965002567005
16	136.3906411595203	830.1717586532372	0.0	19211.115384615383	0.0	1512.9164836492614	3605.9382385669023
17	153.8806331567877	912.3275873149262	0.0	19817.185314685314	0.0	1719.1893438225732	3946.230158773474
18	177.4840125070848	1029.4430001202236	0.0	19741.259906759908	0.0	2014.3472061370715	4454.499094064872
19	183.9986714688067	1119.6557756546856	0.0	20118.113053613055	0.0	2097.062627147468	4907.263054445409
20	115.72355008526971	700.0493084612033	0.0	16606.498834498834	0.0	1298.467702494582	3029.468542187924
21	99.8941150761924	615.7446756191383	0.0	16044.829836829836	0.0	1104.6492586667066	2672.66114862834
22	117.820511611845	722.4283487967614	0.0	18338.196969696968	0.0	1308.3160686419171	3140.7152811276915
23	156.84950137069944	916.7676523610413	0.0	19351.473193473194	0.0	1775.1547226314108	3975.626472814771
24	138.757836764774	853.5777922464692	0.0	18385.716783216783	0.0	1559.1279842987124	3719.796564076043
25	189.27941642361918	1141.2080472222603	0.0	19775.459207459207	0.0	2175.2004587955353	5005.335219725012
26	182.76111737716576	1135.7189887380716	0.0	20015.66317016317	0.0	2118.0534192239857	5017.13131660851
27	183.43065686970004	1134.4689668013448	0.0	20000.068764568765	0.0	2118.085548082138	5008.699929790065
28	167.8874973368018	1045.8266686722998	0.0	20023.921911421912	0.0	1927.6071194566898	4616.099107736208
29	159.2741160921739	960.5604658277479	0.0	19823.0641025641	0.0	1803.0774005225924	4182.144936127713
30	163.15432475879794	953.9437535433548	0.0	17469.60606060606	0.0	1830.8712754309558	4134.874077649349
31	196.10651966508436	1168.9603878032744	0.0	19963.395104895106	0.0	2238.678797611328	5126.957881965766
32	207.83575269273808	1190.1673057816802	0.0	19887.703962703963	0.0	2353.5972989430766	5169.230879561054
33	149.1351124108476	827.3563238434042	0.0	18039.020979020977	0.0	1671.1299330952072	3567.4733456666686
34	142.7751288953495	778.5624055684627	0.0	18399.80536130536	0.0	1598.247955814381	3340.1403172416703
35	130.5928997487822	641.756774732575	0.0	18610.76223776224	0.0	1477.8582732186728	2689.4204934744303
36	132.3680213198596	649.2119332567845	0.0	18607.62703962704	0.0	1499.3249851142036	2719.1594507244918
37	132.46005278211163	650.0471166564713	0.0	18611.185314685314	0.0	1501.7406573629535	2721.0852823883474
38	131.6406065670772	647.2086704303538	0.0	18615.399766899765	0.0	1491.2693087705775	2710.640946916595
39	132.09410700293043	649.1132269558896	0.0	18614.804195804194	0.0	1497.4274028738294	2717.4976084973905
40	132.02325643980032	648.6581763271671	0.0	18619.45571095571	0.0	1498.0783883258382	2715.698001357108
41	131.79863252289718	647.5181838571585	0.0	18616.315850815852	0.0	1495.3974307191504	2711.057266214674
42	147.58060786141007	792.3396910413721	0.0	19071.814685314686	0.0	1680.6536313637303	3387.187178342241
43	157.4659054359117	940.3708723417568	0.0	20019.552447552447	0.0	1782.7139489264864	4099.8130090953255
44	142.96498323876543	820.2319750550765	0.0	18038.377622377622	0.0	1605.5593359091079	3544.5500032592104
45	146.8338996953889	841.4874348730606	0.0	18090.019813519815	0.0	1637.7423923904134	3639.1196380435194
46	157.2452142305324	906.2919960779649	0.0	19278.027972027972	0.0	1750.459276983683	3917.0304739170515
47	158.7295725815708	913.1849831750123	0.0	19480.920745920746	0.0	1758.6840815765327	3934.8940067213307
48	175.41402349028783	1007.596941875758	0.0	19535.244755244756	0.0	1960.438850316177	4359.330139435646
49	156.3577751275958	907.3541196153369	0.0	19306.783216783217	0.0	1726.0322475682992	3931.3244645407012
50	161.93033719216427	929.1116936551289	0.0	19784.062937062936	0.0	1791.1054270523894	4017.1099294290084
51	171.5500487916475	981.9215158596841	0.0	19148.947552447553	0.0	1900.6561350783331	4252.13386104142
52	182.3389886886626	1081.1174042413365	0.0	19675.52564102564	0.0	2056.2230093475177	4723.640514621037
53	189.12089322835675	1128.270040722966	0.0	19651.954545454544	0.0	2145.745826833436	4945.779880675171
54	183.8714193302689	1104.487050666825	0.0	19856.1993006993	0.0	2070.885775098573	4843.145718370972
